iter	Passed	Remaining
0	177	88637
1	210	52439
2	217	35980
3	245	30385
4	250	24792
5	254	20934
6	288	20289
7	319	19662
8	342	18674
9	372	18252
10	404	17992
11	418	17007
12	453	16972
13	488	16960
14	518	16751
15	520	15741
16	549	15617
17	585	15683
18	624	15800
19	658	15793
20	688	15699
21	718	15607
22	752	15613
23	782	15524
24	810	15393
25	841	15338
26	872	15291
27	875	14763
28	904	14689
29	932	14608
30	964	14599
31	995	14562
32	1025	14516
33	1051	14416
34	1055	14018
35	1083	13969
36	1115	13954
37	1145	13931
38	1151	13612
39	1182	13600
40	1217	13629
41	1244	13575
42	1279	13602
43	1308	13565
44	1337	13520
45	1366	13489
46	1395	13454
47	1428	13447
48	1458	13426
49	1489	13401
50	1492	13143
51	1529	13173
52	1557	13138
53	1586	13100
54	1614	13061
55	1650	13086
56	1684	13090
57	1714	13065
58	1738	12993
59	1741	12771
60	1775	12778
61	1807	12766
62	1811	12562
63	1839	12533
64	1873	12538
65	1903	12519
66	1935	12509
67	1965	12488
68	1999	12491
69	2033	12489
70	2064	12474
71	2096	12464
72	2128	12451
73	2161	12442
74	2192	12424
75	2225	12416
76	2259	12411
77	2294	12416
78	2322	12377
79	2352	12350
80	2379	12310
81	2405	12263
82	2432	12220
83	2456	12164
84	2484	12131
85	2488	11977
86	2518	11955
87	2552	11948
88	2587	11948
89	2590	11800
90	2619	11775
91	2651	11758
92	2684	11748
93	2714	11722
94	2745	11705
95	2779	11696
96	2808	11669
97	2840	11651
98	2869	11624
99	2896	11587
100	2926	11561
101	2959	11549
102	2988	11519
103	3022	11506
104	3054	11492
105	3082	11458
106	3113	11436
107	3145	11416
108	3177	11397
109	3207	11370
110	3242	11362
111	3274	11344
112	3303	11312
113	3329	11273
114	3358	11243
115	3388	11215
116	3419	11192
117	3453	11180
118	3456	11067
119	3489	11050
120	3522	11032
121	3555	11016
122	3580	10973
123	3613	10958
124	3642	10926
125	3674	10905
126	3709	10894
127	3745	10885
128	3778	10867
129	3811	10847
130	3842	10824
131	3870	10790
132	3903	10770
133	3906	10671
134	3942	10658
135	3970	10628
136	4003	10606
137	4029	10570
138	4062	10551
139	4091	10522
140	4124	10502
141	4153	10471
142	4188	10455
143	4221	10436
144	4224	10341
145	4256	10320
146	4289	10300
147	4323	10283
148	4354	10258
149	4385	10232
150	4388	10142
151	4425	10132
152	4461	10117
153	4494	10097
154	4527	10078
155	4559	10054
156	4594	10037
157	4629	10019
158	4662	10000
159	4700	9989
160	4727	9954
161	4755	9920
162	4787	9898
163	4815	9866
164	4846	9839
165	4875	9809
166	4903	9776
167	4933	9749
168	4957	9709
169	4989	9686
170	5022	9663
171	5056	9643
172	5088	9617
173	5120	9594
174	5154	9571
175	5188	9551
176	5221	9529
177	5248	9493
178	5279	9467
179	5308	9437
180	5334	9400
181	5365	9374
182	5400	9354
183	5436	9337
184	5471	9315
185	5501	9287
186	5533	9262
187	5569	9243
188	5600	9215
189	5629	9185
190	5655	9148
191	5686	9121
192	5721	9100
193	5755	9078
194	5787	9052
195	5821	9029
196	5853	9002
197	5885	8976
198	5916	8949
199	5948	8922
200	5981	8897
201	6012	8869
202	6046	8846
203	6078	8819
204	6109	8791
205	6137	8759
206	6171	8735
207	6202	8707
208	6232	8677
209	6261	8647
210	6293	8619
211	6325	8592
212	6358	8567
213	6385	8534
214	6411	8498
215	6445	8475
216	6464	8431
217	6486	8391
218	6511	8354
219	6532	8313
220	6553	8273
221	6576	8235
222	6598	8196
223	6620	8157
224	6644	8120
225	6665	8081
226	6687	8043
227	6711	8006
228	6731	7965
229	6752	7927
230	6774	7888
231	6794	7848
232	6816	7811
233	6837	7773
234	6858	7733
235	6881	7697
236	6902	7659
237	6922	7620
238	6951	7590
239	6982	7564
240	7011	7535
241	7040	7505
242	7068	7475
243	7102	7452
244	7136	7428
245	7167	7400
246	7200	7375
247	7232	7349
248	7262	7321
249	7296	7296
250	7328	7269
251	7356	7239
252	7388	7212
253	7419	7186
254	7449	7157
255	7483	7132
256	7508	7099
257	7541	7073
258	7575	7049
259	7603	7018
260	7632	6989
261	7662	6960
262	7690	6930
263	7716	6898
264	7748	6871
265	7773	6838
266	7801	6808
267	7834	6782
268	7864	6753
269	7896	6726
270	7922	6694
271	7949	6663
272	7976	6632
273	8006	6603
274	8032	6572
275	8062	6543
276	8090	6513
277	8119	6484
278	8149	6454
279	8181	6428
280	8214	6401
281	8240	6369
282	8270	6341
283	8302	6314
284	8331	6285
285	8363	6258
286	8395	6230
287	8422	6199
288	8456	6174
289	8486	6145
290	8516	6116
291	8548	6089
292	8577	6059
293	8608	6031
294	8642	6006
295	8672	5976
296	8701	5947
297	8726	5915
298	8758	5887
299	8789	5859
300	8814	5827
301	8848	5801
302	8881	5774
303	8915	5747
304	8948	5721
305	8978	5692
306	9011	5665
307	9042	5637
308	9076	5610
309	9107	5581
310	9131	5549
311	9166	5523
312	9196	5494
313	9226	5465
314	9258	5437
315	9289	5409
316	9322	5381
317	9355	5354
318	9385	5325
319	9420	5298
320	9452	5270
321	9486	5244
322	9515	5214
323	9544	5184
324	9578	5157
325	9614	5131
326	9649	5104
327	9678	5075
328	9711	5047
329	9741	5018
330	9770	4988
331	9804	4961
332	9836	4932
333	9866	4903
334	9895	4873
335	9929	4846
336	9961	4818
337	9992	4789
338	10027	4762
339	10061	4734
340	10095	4707
341	10131	4680
342	10166	4653
343	10198	4625
344	10228	4595
345	10262	4567
346	10295	4539
347	10327	4511
348	10361	4482
349	10393	4454
350	10425	4425
351	10456	4396
352	10490	4368
353	10525	4341
354	10558	4312
355	10591	4284
356	10623	4255
357	10662	4229
358	10694	4200
359	10726	4171
360	10758	4142
361	10792	4114
362	10824	4085
363	10855	4055
364	10887	4026
365	10920	3998
366	10948	3967
367	10979	3938
368	11011	3909
369	11043	3880
370	11076	3851
371	11109	3822
372	11139	3792
373	11170	3763
374	11202	3734
375	11235	3705
376	11267	3676
377	11302	3647
378	11334	3618
379	11368	3590
380	11403	3561
381	11434	3532
382	11467	3503
383	11496	3472
384	11528	3443
385	11561	3414
386	11592	3384
387	11625	3355
388	11660	3327
